"Contract / Blanket #","Bid Solicitation #","Description","Vendor","Type Code","Dollars Spent to Date","Organization","Status","Begin Date","End Date"
"23-416CMS-BOPM4-P-41746","","SUP Carpet Cleaning J0200 MABB Chicago","Sertoma Center, Inc","H","$0.00","CMS - Central Management Services","3PS - Sent","11/01/2022","09/30/2027"
"23-416CMS-BOPM4-P-41517","","Fire Alarm Mon,Test,Rep,Mnt  Z0101 Spfld","Bennett Electronic Service Co., Inc.","C","$0.00","CMS - Central Management Services","3PS - Sent","09/19/2022","09/18/2024"
"23-416CMS-BOPM4-P-41506","","SUP J0205 JRTC 13th-14th Floors Chicago","Sertoma Center, Inc","H","$0.00","CMS - Central Management Services","3PS - Sent","12/01/2022","11/30/2024"
"23-416CMS-BOPM4-P-41437","","SUP 5 Day Janitorial J0200 MABB Chicago","Sertoma Center, Inc","H","$0.00","CMS - Central Management Services","3PS - Sent","11/01/2022","09/30/2027"
"23-416CMS-BOPM4-P-41291","","Snow Removal L4887 LaSalle","D & M Landscaping and Excavating, Inc. ","C","$0.00","CMS - Central Management Services","3PS - Sent","10/01/2022","03/31/2026"
"23-416CMS-BOPM4-P-41209","","Pest Control D0601 J0120 J0110 SPI ","Chicago Pests LLC","C","$0.00","CMS - Central Management Services","3PS - Sent","09/15/2022","09/14/2027"
"23-416CMS-BOPM4-P-41059","","JPMC Plumbing Region 2 Primary","Triton Testing and Design","A","$16,150.00","CMS - Central Management Services","3PS - Sent","09/26/2022","09/25/2026"
"23-416CMS-BOPM4-P-41058","","JPMC Plumbing Region 10 Secondary","Heartland Mechanical Contractors, Inc.","A","$0.00","CMS - Central Management Services","3PS - Sent","09/23/2022","09/22/2026"
"23-416CMS-BOPM4-P-41038","","Pest Control D0000 J0160 J0146 SPI","Chicago Pests LLC","C","$0.00","CMS - Central Management Services","3PS - Sent","09/15/2022","09/14/2027"
"23-416CMS-BOPM4-P-40975","","Pest Control Chicago Medical Center","Chem-Wise Ecological Pest Mgmt.","C","$0.00","CMS - Central Management Services","3PS - Sent","09/08/2022","09/07/2023"
"23-416CMS-BOPM4-P-40687","","1 Day janitorial L6811 Sterling","International Cleaning Services, Inc.","C","$0.00","CMS - Central Management Services","3PS - Sent","09/01/2022","08/31/2027"
"23-416CMS-BOPM4-P-40202","","Snow Removal G0735 East Moline","SNOW SYSTEMS, INC","C","$0.00","CMS - Central Management Services","3PS - Sent","09/01/2022","08/31/2025"
"23-416CMS-BOPM4-P-39947","","JPMC Masonry Reg 6,7,8,9,10 Primary","Seward Masonry Inc.","A","$669,171.12","CMS - Central Management Services","3PS - Sent","08/24/2022","08/23/2025"
"23-416CMS-BOPM4-P-39806","","SUP 3 Day Janitorial L6438 Princeton","Gateway Services, Inc.","H","$0.00","CMS - Central Management Services","3PS - Sent","08/02/2022","05/31/2027"
"23-416CMS-BOPM4-P-39738","","5 Day Janitorial L6765 Sterling","International Cleaning Services, Inc.","C","$0.00","CMS - Central Management Services","3PS - Sent","08/04/2022","08/03/2026"
"23-416CMS-BOPM4-P-39737","","5 Day Janitorial L4166 Spfld","International Cleaning Services, Inc.","C","$0.00","CMS - Central Management Services","3PS - Sent","08/04/2022","08/03/2024"
"23-416CMS-BOPM4-P-39639","","Pest Control G1306 DuQuoin","Enviro-Tech termite & Pest Control","C","$0.00","CMS - Central Management Services","3PS - Sent","08/05/2022","08/04/2023"
"23-416CMS-BOPM4-P-38898","","SP w SS Cond Lawn Care L6674 Kewanee","John's Lawn Care ","C","$0.00","CMS - Central Management Services","3PS - Sent","07/05/2022","06/30/2023"
"23-416CMS-BOPM4-P-37699","","5 Day Janitorial L4117 Spfld","International Cleaning Services, Inc.","C","$0.00","CMS - Central Management Services","3PS - Sent","07/01/2022","06/30/2026"
"23-416CMS-BOPM4-P-37024","","5 Day Janitorial L6330 Centralia","Above & Beyond Cleaning Specialists, Inc","C","$0.00","CMS - Central Management Services","3PS - Sent","07/01/2022","06/30/2025"
"23-416CMS-BOPM4-P-36659","","3 Day Janitorial Services L6540 Dekalb","International Cleaning Services, Inc.","C","$0.00","CMS - Central Management Services","3PS - Sent","07/01/2022","06/30/2025"
"23-416CMS-BOPM4-P-36000","","CMS 6663 AWARD NOTICE ISP MATTESON","THE KLAIRMONT FAMILY LLC","M","$0.00","CMS - Central Management Services","3PS - Sent","07/01/2022","06/30/2027"
"23-416CMS-BOPM4-P-34582","","Lawn Care L6503 Minooka","Paul Bedell's Lawn and Garden","C","$0.00","CMS - Central Management Services","3PS - Sent","07/01/2022","12/31/2025"
"23-416CMS-AGSV4-P-51439","","SPEm Body Repair 56348 56484 56534 Elgin","Kerry's Auto Body, Inc.","C","$0.00","CMS - Central Management Services","3PS - Sent","06/01/2023","12/01/2023"
"23-416CMS-AGSV4-P-46697","","Cummins Insite Software Subscription SP SS for DOV","Cummins Sales and Service - Central Region","C","$0.00","CMS - Central Management Services","3PS - Sent","02/02/2023","02/01/2024"
"23-416CMS-ADOP4-P-49447","","Internal Audit Quality Assmnt Srvs SP SS","IIA Quality Services, LLC","C","$0.00","CMS - Central Management Services","3PS - Sent","04/11/2023","08/25/2023"
"22-563WCC-WCC56-P-39138","","Dynamics 365 Resources","Chicago Advisors LLC","A","$0.00","WCC - Illinois Worker's Compensation Commission","3PS - Sent","07/18/2022","07/17/2025"
"22-551HDA-LEGAL-P-38131","","Taft Stettinius & Hollister Bond Counsel (Exempt)","Taft Stettinius & Hollister LLP","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","05/04/2022","05/03/2024"
"22-551HDA-LEGAL-P-38130","","Miller Canfield Bond Counsel (Exempt)","Miller, Canfield, Paddock and Stone, P.L.C.","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","05/09/2022","05/08/2024"
"22-551HDA-LEGAL-P-38127","","Dinsmore & Shohl - Bond Counsel (Exempt)","Dinsmore & Shohl LLP","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","06/13/2022","06/12/2024"
"22-551HDA-LEGAL-P-37353","","Locke Lord Bond Counsel (Exempt)","LOCKE LORD LLP","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","05/10/2022","05/09/2024"
"22-551HDA-LEGAL-P-37208","","Kutak Rock Bond Counsel (Exempt)","KUTAK ROCK LLP","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","05/04/2022","05/03/2024"
"22-551HDA-LEGAL-P-37189","","Hawkins Delafield and Wood Bond Counsel (Exempt)","Hawkins Delafield & Wood LLP","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","05/09/2022","05/08/2024"
"22-551HDA-LEGAL-P-37186","","Chapman and Cutler Bond Counsel (Exempt)","Chapman and Cutler LLP","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","05/04/2022","05/03/2024"
"22-551HDA-LEGAL-P-37180","","Greenberg Traurig Bond Counsel (Exempt)","Greenberg Traurig, LLP","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","05/12/2022","05/11/2024"
"22-551HDA-LEGAL-P-36356","","Ice Miller - Bond Counsel (Exempt)","Ice Miller LLP","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","05/04/2022","05/03/2024"
"22-551HDA-LEGAL-P-36195","","Burke Burns & Pinelli Bond Counsel (Exempt)","Burke Burns & Pinelli, Ltd.","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","05/09/2022","05/08/2024"
"22-551HDA-LEGAL-P-36191","","BurgherGray Bond Counsel (Exempt)","BURGHERGRAYLLP","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","05/04/2022","05/03/2024"
"22-551HDA-LEGAL-P-36189","","ArentFox Schiff Bond Counsel (Exempt)","ArentFox Schiff LLP","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","05/04/2022","05/03/2024"
"22-551HDA-LEGAL-P-30665","","Website Design - Exempt","Vera Creative, Inc.","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","10/01/2021","09/30/2023"
"22-551HDA-LEGAL-P-29642","","ARPA - Application, Processing and Archiving System - Exempt","Unqork","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","08/25/2021","08/25/2031"
"22-551HDA-HMOWN-P-32655","","Mortgage Loan Quality Control Review","ADFITECH, INC","B","$0.00","HDA - Housing Development Authority","3PS - Sent","12/17/2021","12/16/2023"
"22-551HDA-FINAN-P-38365","","BNY Mellon Investment Banking Firms - Co-Managers (Exempt)","BNY Mellon Capital Markets","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","06/22/2022","06/21/2024"
"22-551HDA-FINAN-P-38361","","PNC Capital Markets Investment Banking Firms - Co-Managers (Exempt)","PNC Capital Markets LLC","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","02/23/2022","02/22/2024"
"22-551HDA-FINAN-P-35899","","TD Securities Investment Banking Firms - Co-Manager (Exempt)","TD Securities (USA) LLC","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","01/05/2022","01/04/2024"
"22-551HDA-FINAN-P-35878","","Mesirow Financial Investment Banking Firms - Co-Manager (Exempt)","Mesirow Financial, Inc.","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","01/06/2022","01/05/2024"
"22-551HDA-FINAN-P-35877","","Huntington Securities Investment Banking Firms - Co-Manager (Exempt)","Huntington Securities, Inc.","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","01/06/2022","01/05/2024"
"22-551HDA-FINAN-P-35864","","Samuel A. Ramirez Investment Banking Firms - Senior Manager (Exempt)","Samuel A. Ramirez & Company, Inc. ","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","01/04/2022","01/03/2024"
"22-551HDA-FINAN-P-35863","","Wells Fargo Investment Banking Firms - Senior Manager (Exempt)","Wells Fargo Bank","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","01/04/2022","01/03/2024"
"22-551HDA-FINAN-P-35862","","Siebert Williams Shank Investment Banking Firms - Senior Manager (Exempt)","Siebert Williams Shank & Co LLC","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","01/07/2022","01/06/2024"
"22-551HDA-FINAN-P-35858","","RBC Capital Markets Investment Banking Firms - Senior Manager (Exempt)","RBC Capital Markets, LLC","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","12/22/2021","12/21/2023"
"22-551HDA-FINAN-P-35853","","UBS Investment Banking Firms - Senior Manager (Exempt)","UBS Financial Services Inc","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","01/03/2022","01/02/2024"
"22-551HDA-FINAN-P-35851","","Raymond James Investment Banking Firms - Senior Manager (Exempt)","Raymond James","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","12/22/2021","12/21/2023"
"22-551HDA-FINAN-P-35850","","Morgan Stanley Investment Banking Firms - Senior Manager (Exempt)","Morgan Stanley & Co. LLC","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","01/10/2022","01/09/2024"
"22-551HDA-FINAN-P-35848","","Loop Capital Investment Banking Firms - Senior Manager (Exempt)","LOOP CAPITAL MARKETS LLC","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","01/13/2022","01/12/2024"
"22-551HDA-FINAN-P-34243","","JP Morgan Investment Banking Firms - Senior Manager (Exempt)","J.P. Morgan Securities LLC","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","01/04/2022","01/03/2024"
"22-551HDA-FINAN-P-33900","","Jefferies Investment Banking Firms - Senior Manager (Exempt)","Jefferies LLC","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","12/22/2021","12/21/2023"
"22-551HDA-FINAN-P-33897","","Citigroup Global Markets Investment Banking Firms - Senior Manager (Exempt)","Citigroup Global Markets Inc","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","01/18/2022","01/17/2024"
"22-551HDA-FINAN-P-33896","","BofA Securities Investment Banking Firms - Senior Manager (Exempt)","BofA Securities Inc.","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","02/07/2022","02/06/2024"
"22-551HDA-FINAN-P-33895","","Barclays Capital Investment Banking Firms - Senior Manager (Exempt)","Barclays Capital Inc.","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","12/22/2021","12/21/2023"
"22-551HDA-FINAN-P-33644","","Stern Brothers Investment Banking Firms - Co-Manager (Exempt)","Stern Brothers & Co.","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","01/05/2022","01/04/2024"
"22-551HDA-FINAN-P-33560","","R. Seelaus Investment Banking Firms - Co-Manager (Exempt)","R. Seelaus & Co., LLC","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","01/05/2022","01/04/2024"
"22-551HDA-FINAN-P-33430","","Piper Sandler Investment Banking Firms - Co-Managers (Exempt)","Piper Sandler & Co.","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","01/05/2022","01/04/2024"
"22-551HDA-FINAN-P-33426","","Melvin Securities Investment Banking Firms - Co-Managers (Exempt)","Melvin Securities, LLC","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","01/05/2022","01/04/2024"
"22-551HDA-FINAN-P-33425","","Drexel Hamilton Investment Banking Firms - Co-Managers (Exempt)","Drexel Hamilton, LLC","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","01/05/2022","01/04/2024"
"22-551HDA-FINAN-P-33423","","Blaylock Van Investment Banking Firms - Co-Manager (Exempt)","Blaylock Van LLC","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","01/05/2022","01/04/2024"
"22-551HDA-FINAN-P-33395","","Academy Securities Investment Banking Firms - Co-Managers (Exempt)","Academy Securities, Inc.","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","01/06/2022","01/05/2024"
"22-551HDA-FINAN-P-33394","","Bancroft Capital Investment Banking Firms - Co-Managers (Exempt)","Bancroft Capital, LLC","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","01/18/2022","01/17/2024"
"22-551HDA-FINAN-P-33384","","Cabrera Capital Markets Investment Banking Firms - Co-Managers (Exempt)","Cabrera Capital Markets, LLC","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","01/18/2022","01/17/2024"
"22-551HDA-FINAN-P-33373","","KeyBanc Capital Markets Investment Banking Firms- Co-Managers (Exempt)","KeyBanc Capital Markets Inc.","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","01/24/2022","01/23/2024"
"22-494DOT-FINAD-P-41439","","DL, D1, D8 Wreckers","Mack Sales & Service of Decatur","A","$0.00","DOT - Transportation","3PS - Sent","09/26/2022","06/30/2025"
"22-494DOT-FINAD-P-39280","","D4, D6 Asphalt Analyzers","State Materials Engineering, LLC","A","$0.00","DOT - Transportation","3PS - Sent","08/02/2022","06/30/2023"
"22-494DOT-FINAD-P-38375","","Equipment Trailers Rebid","Certified Stainless Service, Inc.","A","$0.00","DOT - Transportation","3PS - Sent","07/07/2022","06/30/2024"
"22-494DOT-FINAD-P-38374","","Equipment Trailers Rebid","DDS Sales, LLC.","A","$0.00","DOT - Transportation","3PS - Sent","07/20/2022","06/30/2024"
"22-494DOT-FINAD-P-38373","","Equipment Trailers Rebid","Arrow Trailer & Equipment Co","A","$0.00","DOT - Transportation","3PS - Sent","07/07/2022","06/30/2024"
"22-494DOT-FINAD-P-37922","","Operations Portable Wheel Load Scales ","F L Walz Inc","A","$0.00","DOT - Transportation","3PS - Sent","06/23/2022","06/30/2023"
"22-494DOT-FINAD-P-37920","","Equipment Trailers","Certified Stainless Service, Inc.","A","$0.00","DOT - Transportation","3PS - Sent","07/05/2022","06/30/2024"
"22-494DOT-FINAD-P-36912","","Rebid D3, D4, D5 Semi Trucks (4)","Patson Inc., dba: TransChicago Truck Group","A","$0.00","DOT - Transportation","3PS - Sent","06/21/2022","06/30/2025"
"22-494DOT-FINAD-P-36823","","D6 Rubber Tracked CPT Rig","Applied Research Associates,  Inc.","A","$0.00","DOT - Transportation","3PS - Sent","05/24/2022","06/30/2023"
"22-494DOT-FINAD-P-36787","","Pavement Rollers","Altorfer Inc.","A","$0.00","DOT - Transportation","3PS - Sent","05/26/2022","06/30/2023"
"22-494DOT-FINAD-P-36001","","Concrete Saws for D4, D7, D8, D9","Schaaf Equipment Co.","A","$0.00","DOT - Transportation","3PS - Sent","05/11/2022","06/30/2023"
"22-494DOT-FINAD-P-35040","","Digger Derricks (14)","Patson Inc., dba: TransChicago Truck Group","A","$0.00","DOT - Transportation","3PS - Sent","04/14/2022","06/30/2025"
"22-494DOT-FINAD-P-34692","","Asphalt Milling Machine","Roland Machinery Company","A","$0.00","DOT - Transportation","3PS - Sent","03/24/2022","06/30/2024"
"22-494DOT-FINAD-P-34470","","Truck with Cranes (2)","Patson Inc., dba: TransChicago Truck Group","A","$0.00","DOT - Transportation","3PS - Sent","03/02/2022","06/30/2025"
"22-494DOT-FINAD-P-34388","","HCEP Line Striping Trucks (5)","M-B Co Inc","A","$0.00","DOT - Transportation","3PS - Sent","03/24/2022","06/30/2024"
"22-494DOT-FINAD-P-33941","","Rebid HCEP Street Sweepers (5)","STANDARD EQUIPMENT CO","A","$0.00","DOT - Transportation","3PS - Sent","03/07/2022","06/30/2024"
"22-494DOT-FINAD-P-33517","","Ag Tractors (12)","German-Bliss Equipment Inc.","A","$0.00","DOT - Transportation","3PS - Sent","02/22/2022","06/30/2024"
"22-494DOT-FINAD-P-33516","","Ag Tractors (12)","F.B.McAfoos & company","A","$0.00","DOT - Transportation","3PS - Sent","02/22/2022","06/30/2024"
"22-494DOT-FINAD-P-33450","","Aphalt Heating and Patching Equipment","STEPP MANUFACTURING CO., INC.","A","$0.00","DOT - Transportation","3PS - Sent","02/22/2022","06/30/2024"
"22-494DOT-FINAD-P-33449","","Aphalt Heating and Patching Equipment","Falcon RME","A","$0.00","DOT - Transportation","3PS - Sent","02/22/2022","06/30/2024"
"22-494DOT-FINAD-P-33448","","Aphalt Heating and Patching Equipment","Duraco, Inc.","A","$0.00","DOT - Transportation","3PS - Sent","02/22/2022","06/30/2024"
"22-494DOT-FINAD-P-33447","","Aphalt Heating and Patching Equipment","Cummings, McGowan & West, Inc.","A","$0.00","DOT - Transportation","3PS - Sent","02/18/2022","06/30/2024"
"22-494DOT-FINAD-P-33446","","Trailer Mounted Sewer Cleaner (4)","Armor Equipment","A","$0.00","DOT - Transportation","3PS - Sent","02/22/2022","06/30/2023"
"22-494DOT-FINAD-P-32827","","HCEP Street Sweepers (11)","Key Equipment & Supply Co.","A","$0.00","DOT - Transportation","3PS - Sent","02/22/2022","06/30/2024"
"22-494DOT-FINAD-P-32824","","Road Wideners (4)","Cummings, McGowan & West, Inc.","A","$0.00","DOT - Transportation","3PS - Sent","02/22/2022","06/30/2024"
"22-494DOT-FINAD-P-32823","","Road Wideners (4)","German-Bliss Equipment Inc.","A","$0.00","DOT - Transportation","3PS - Sent","02/10/2022","06/30/2024"
"22-493ISP-OPERA-P-36209","","DAT-Academy-Cadet Medical Exams-ah","Springfield Clinic","B","$0.00","ISP - Illinois State Police","3PS - Sent","05/16/2022","05/15/2025"
"22-493ISP-OPERA-P-34691","","DAT - Academy - A/V System & Equipment Services - JTR","National Tek Services, Inc.","C","$0.00","ISP - Illinois State Police","3PS - Sent","11/24/2021","06/30/2025"
"22-493ISP-FOREN-P-38854","","DFS-Siemens Tox Reagents-SLB","Siemens Healthcare Diagnostics, Inc.","C","$38,163.54","ISP - Illinois State Police","3PS - Sent","07/12/2022","07/11/2024"
"22-493ISP-FOREN-P-35662","","DFS- Sole Source PowerQuant- SLB","Promega Corporation","D","$360,000.00","ISP - Illinois State Police","3PS - Sent","06/15/2022","06/14/2023"
"22-493ISP-FOREN-P-34499","","DFS- Tecan Commodities-SLB","Tecan US, Inc.","A","$34,939.41","ISP - Illinois State Police","3PS - Sent","03/21/2022","03/20/2025"
"22-493ISP-FOREN-P-34001","","DFS - Sole Source Life Tech Commodities-SLB","Life Technologies Corporation","D","$1,282,283.90","ISP - Illinois State Police","3PS - Sent","06/30/2022","06/29/2023"
"22-493ISP-FOREN-P-33937","","DFS-Rapid DNA System-SLB","Life Technologies Corporation","A","$14,000.00","ISP - Illinois State Police","3PS - Sent","03/04/2022","03/03/2024"
"22-493ISP-FOREN-P-30420","","DFS-Sole Source PowerPlex Fusion for Indexing and Casework-SLB","Promega Corporation","D","$1,413,001.26","ISP - Illinois State Police","3PS - Sent","11/09/2021","11/08/2025"
"22-493ISP-ADMIN-P-39509","","DJS-FSB- Sole Source Printing Supplies-SLB","IdentiSys Incorporated","D","$442,980.74","ISP - Illinois State Police","3PS - Sent","07/26/2022","07/25/2023"
"22-493ISP-ADMIN-P-36574","","DJS - IWIN equipment - AJO","CDS Office Technologies","A","$1,351,609.50","ISP - Illinois State Police","3PS - Sent","05/23/2022","11/25/2023"
"22-493ISP-ADMIN-P-36478","","DAT HVAC Service HK","Henson Robinson Company","C","$6,493.88","ISP - Illinois State Police","3PS - Sent","07/01/2022","06/30/2023"
"22-493ISP-ADMIN-P-36464","","Academy-JP LEAD AGENCY IFB-TASERS-CEW-ah","Axon Enterprise, Inc.","A","$2,232,994.51","ISP - Illinois State Police","3PS - Sent","09/16/2022","09/15/2027"
"22-493ISP-ADMIN-P-36208","","ISP-Agency Wide IFB-Avon C50 and FM54-Masks-ah","Streicher's Inc.","A","$707,991.75","ISP - Illinois State Police","3PS - Sent","05/18/2022","05/17/2025"
"22-493ISP-ADMIN-P-36017","","Acad-DOG FOOD-ah","Legend & White Animal Health Corp.","C","$40,239.76","ISP - Illinois State Police","3PS - Sent","07/01/2022","06/30/2024"
"22-493ISP-ADMIN-P-34924","","JP - ISP Temporary Services for ISP Defined Positions IFB - JTR","Alert IT Solutions, Inc. ","A","$7,214,331.37","ISP - Illinois State Police","3PS - Sent","04/01/2022","03/31/2026"
"22-493ISP-ADMIN-P-25981","","DAT-Academy-Police Canines-RSJ","FM K9","A","$96,250.00","ISP - Illinois State Police","3PS - Sent","07/01/2021","06/30/2023"
"22-493ISP-ADMIN-P-24333","","DJS-Academy-PT Gear-RSJ","Arena Sports USA, Inc.","C","$50,819.33","ISP - Illinois State Police","3PS - Sent","07/01/2021","06/30/2023"
"22-493ISP-ADMIN-P-24300","","DJS-Academy-Linen Services-RSJ","Aramark Uniform & Career Apparel, LLC","C","$76,623.75","ISP - Illinois State Police","3PS - Sent","07/01/2021","06/30/2023"
"22-493ISP-ADMIN-P-24179","","DAT-Academy-Plumbing R&M-RSJ","Henson Robinson Company","C","$22,362.41","ISP - Illinois State Police","3PS - Sent","07/01/2021","06/30/2024"
"22-493ISP-ADMIN-P-24099","","DJS-QM-Dog Food-RSJ","Legend & White Animal Health Corp.","C","$23,646.76","ISP - Illinois State Police","3PS - Sent","07/01/2021","06/30/2023"
"22-482DPH-HLTHP-P-38749","","Illumina 38500002K Commodities Service","Illumina, Inc.","D","$0.00","DPH - Public Health","3PS - Sent","07/01/2022","06/30/2023"
"22-482DPH-HLTHP-P-38748","","ThermoElectron 38500007K Maintenance","THERMO ELECTRON NORTH AMERICA LLC","C","$0.00","DPH - Public Health","3PS - Sent","07/01/2022","06/30/2023"
"22-482DPH-HLTHP-P-38142","","Perinatal HIV Services - RFP","Mother and Child Alliance ","B","$0.00","DPH - Public Health","3PS - Sent","07/01/2022","06/30/2025"
"22-482DPH-HLTHP-P-36804","","FDD System License Precise 35200001K","Precise Software Solutions, Inc","C","$0.00","DPH - Public Health","3PS - Sent","07/01/2022","06/30/2023"
"22-482DPH-HLTHP-P-36565","","BioMerieux 38500005K Food Analyzer","BioMerieux inc","C","$0.00","DPH - Public Health","3PS - Sent","07/01/2022","06/30/2025"
"22-482DPH-HLTHP-P-33870","","IBM MBM Pool Admin 25700006J","Pool Administrators Inc.","B","$0.00","DPH - Public Health","3PS - Sent","03/07/2022","02/28/2027"
"22-466MIL-LNCCH-P-40405","","LCA-GED Vouchers SPSS Cond-SE","NCS Pearson, Inc. ","C","$0.00","MIL - Military Affairs","3PS - Sent","08/18/2022","06/30/2023"
"22-466MIL-LNCCH-P-37727","","LCA-BAS Syst Maint. Sm Purch SS Cond. SE","Environmental Control Solutions Inc.","C","$0.00","MIL - Military Affairs","3PS - Sent","07/01/2022","06/30/2023"
"22-466MIL-LNCCH-P-31290","","LCA-Elevator Services-SE","OTIS Elevator Company","C","$5,120.00","MIL - Military Affairs","3PS - Sent","10/29/2021","09/30/2023"
"22-466MIL-LNCCH-P-31090","","LCA-Barber Services Rebid-SE","Shear Excellence Salon Corp","C","$0.00","MIL - Military Affairs","3PS - Sent","10/21/2021","12/31/2024"
"22-466MIL-ILAIR-P-38869","","126 AW Fire Suppression Alarm Svs-SE","Johnson Controls Fire Protection LP","C","$0.00","MIL - Military Affairs","3PS - Sent","07/01/2022","06/30/2025"
"22-466MIL-ILAIR-P-35399","","183 AW HVAC Services Rebid-SE","Henson Robinson Company","A","$0.00","MIL - Military Affairs","3PS - Sent","04/06/2022","12/28/2024"
"22-466MIL-ILAIR-P-35062","","183 Wing Mowing Services Rebid-SE","staley lawn care & landscaping","A","$0.00","MIL - Military Affairs","3PS - Sent","03/28/2022","03/31/2024"
"22-466MIL-ILAIR-P-30184","","126 AW HVAC Filter Replacement Svs-SE","RamAir Inc.","C","$0.00","MIL - Military Affairs","3PS - Sent","09/20/2021","09/30/2024"
"22-466MIL-ILAIR-P-29754","","183 AW HVAC Controls SP SS-SE","Alpha Controls & Services LLC","C","$0.00","MIL - Military Affairs","3PS - Sent","09/01/2021","08/31/2023"
"22-466MIL-ARNGT-P-35641","","MTC Radar Warranty Service","DeTect, inc","C","$0.00","MIL - Military Affairs","3PS - Sent","09/25/2022","09/24/2023"
"22-448DOIT-TELEC-P-48078","","VELOCITY E-rate Round 4 Fiber Circuits","DBA Velocity Fiber LLC","A","$35,168.16","DoIT - Department of Innovation and Technology","3PS - Sent","03/09/2023","03/08/2030"
"22-448DOIT-TELEC-P-48077","","VERO E-rate Round 4 Fiber Circuits","Vero Fiber Networks","A","$779,568.00","DoIT - Department of Innovation and Technology","3PS - Sent","03/09/2023","03/08/2030"
"22-448DOIT-TELEC-P-48076","","ADAMS E-rate Round 4 Fiber Circuits","Adams TelSystems, Inc. ","A","$7,200.00","DoIT - Department of Innovation and Technology","3PS - Sent","03/09/2023","03/08/2030"
"22-448DOIT-TELEC-P-48075","","COMCAST E-rate Round 4 Fiber Circuits","COMCAST BUSINESS COMMUNICATIONS, LLC","A","$65,496.00","DoIT - Department of Innovation and Technology","3PS - Sent","03/10/2023","03/09/2030"
"22-448DOIT-TELEC-P-48074","","iFIBER E-rate Round 4 Fiber Circuits","Illinois Fiber Resources Group D/B/A iFiber","A","$84,204.00","DoIT - Department of Innovation and Technology","3PS - Sent","03/09/2023","03/08/2030"
"22-448DOIT-TELEC-P-48072","","MCC E-rate Round 4 Fiber Circuits","MCC Network Services, LLC","A","$220,680.00","DoIT - Department of Innovation and Technology","3PS - Sent","03/09/2023","03/08/2030"
"22-448DOIT-TELEC-P-48071","","CONSOLIDATED E-rate Rnd 4 Fiber Circuits","Consolidated Communications Enterprise Services, Inc","A","$71,700.00","DoIT - Department of Innovation and Technology","3PS - Sent","03/09/2023","03/08/2030"
"22-448DOIT-TELEC-P-48070","","METRONET E-rate Round 4 Fiber Circuits","Metronet","A","$6,000.00","DoIT - Department of Innovation and Technology","3PS - Sent","03/09/2023","03/08/2030"
"22-448DOIT-TELEC-P-48069","","MTC COMM E-rate Round 4 Fiber Circuits","MTC Communications Inc","A","$31,636.80","DoIT - Department of Innovation and Technology","3PS - Sent","03/09/2023","03/08/2030"
"22-448DOIT-TELEC-P-48068","","AT&T E-rate Round 4 Fiber Circuits","AT & T Corp","A","$912,905.16","DoIT - Department of Innovation and Technology","3PS - Sent","03/09/2023","03/08/2030"
